date,open,high,low,close,adjusted_close,volume
2023-03-31,0.996,0.999,0.9907,0.996,0.996,0
2023-04-03,0.9911,0.9961,0.9902,0.9911,0.9911,0
2023-04-04,0.9957,0.997,0.9933,0.9957,0.9957,0
2023-04-05,0.9923,0.9931,0.9869,0.9923,0.9923,0
2023-04-06,0.9882,0.9889,0.9851,0.9882,0.9882,0
2023-04-07,0.9876,0.989,0.9863,0.9876,0.9876,0
2023-04-10,0.9872,0.9887,0.9868,0.9872,0.9872,0
2023-04-11,0.9878,0.9888,0.9853,0.9878,0.9878,0
2023-04-12,0.9858,0.9869,0.9831,0.9858,0.9858,0
2023-04-13,0.9851,0.9858,0.9799,0.9851,0.9851,0
2023-04-14,0.9825,0.9842,0.9811,0.9825,0.9825,0
2023-04-17,0.9829,0.9832,0.9804,0.9829,0.9829,0
2023-04-18,0.9817,0.9843,0.9811,0.9817,0.9817,0
2023-04-19,0.9833,0.9845,0.9826,0.9833,0.9833,0
2023-04-20,0.983,0.9838,0.9795,0.983,0.983,0
2023-04-21,0.9787,0.9806,0.9786,0.9787,0.9787,0
2023-04-24,0.9804,0.9808,0.9779,0.9804,0.9804,0
2023-04-25,0.9808,0.9815,0.9776,0.9808,0.9808,0
2023-04-26,0.9791,0.9838,0.9779,0.9791,0.9791,0
2023-04-27,0.9839,0.9879,0.9834,0.9839,0.9839,0
2023-04-28,0.9861,0.9861,0.9815,0.9861,0.9861,0
2023-05-01,0.9853,0.9856,0.9822,0.9853,0.9853,0
2023-05-02,0.9827,0.9865,0.9815,0.9827,0.9827,0
2023-05-03,0.9825,0.9828,0.9793,0.9825,0.9825,0
2023-05-04,0.9778,0.9812,0.9747,0.9778,0.9778,0
2023-05-05,0.9759,0.9847,0.9755,0.9759,0.9759,0
2023-05-08,0.9818,0.9821,0.9796,0.9818,0.9818,0
2023-05-09,0.9785,0.9798,0.9761,0.9785,0.9785,0
2023-05-10,0.976,0.9776,0.9743,0.976,0.976,0
2023-05-11,0.9767,0.9781,0.9747,0.9767,0.9767,0
2023-05-12,0.9757,0.9759,0.9724,0.9757,0.9757,0
2023-05-15,0.9749,0.9754,0.9728,0.9749,0.9749,0
2023-05-16,0.9736,0.9741,0.9718,0.9736,0.9736,0
2023-05-17,0.9741,0.9761,0.9727,0.9741,0.9741,0
2023-05-18,0.9737,0.9758,0.9725,0.9737,0.9737,0
2023-05-19,0.9749,0.975,0.9712,0.9749,0.9749,0
2023-05-22,0.972,0.9721,0.9676,0.972,0.972,0
2023-05-23,0.971,0.972,0.9699,0.971,0.971,0
2023-05-24,0.9707,0.975,0.9703,0.9707,0.9707,0
2023-05-25,0.9726,0.9732,0.97,0.9726,0.9726,0
2023-05-26,0.9706,0.9717,0.9688,0.9706,0.9706,0
2023-05-29,0.9711,0.9717,0.9675,0.9711,0.9711,0
