date,open,high,low,close,adjusted_close,volume
2023-06-19,1.2831,1.2837,1.277,1.2793,1.2793,491
2023-06-20,1.2793,1.2806,1.2714,1.2766,1.2766,639
2023-06-21,1.2766,1.2803,1.2691,1.2771,1.2771,601
2023-06-22,1.2771,1.2845,1.2726,1.2747,1.2747,371
2023-06-23,1.2747,1.2749,1.2686,1.2716,1.2716,500
2023-06-25,1.2712,1.2732,1.271,1.2729,1.2729,36
2023-06-26,1.2729,1.2749,1.2688,1.2711,1.2711,342
2023-06-27,1.2711,1.276,1.2704,1.2746,1.2746,77
2023-06-28,1.2746,1.2752,1.2607,1.2642,1.2642,1113
2023-06-29,1.2642,1.2667,1.2591,1.2613,1.2613,418
2023-06-30,1.2613,1.2728,1.26,1.2699,1.2699,129
2023-07-02,1.2704,1.2706,1.2693,1.2694,1.2694,107
2023-07-03,1.2694,1.2723,1.2659,1.2692,1.2692,297
2023-07-04,1.2692,1.2739,1.2684,1.2717,1.2717,86
2023-07-05,1.2717,1.2735,1.2688,1.2704,1.2704,248
2023-07-06,1.2704,1.2781,1.2674,1.2742,1.2742,262
2023-07-07,1.2742,1.285,1.2726,1.284,1.284,147
2023-07-09,1.2835,1.2842,1.2831,1.2838,1.2838,48
2023-07-10,1.2838,1.2869,1.2751,1.2864,1.2864,700
2023-07-11,1.2864,1.294,1.2858,1.2934,1.2934,66
2023-07-12,1.2934,1.3001,1.2904,1.2996,1.2996,250
2023-07-13,1.2996,1.3141,1.2985,1.3129,1.3129,108
2023-07-14,1.3129,1.3142,1.309,1.3093,1.3093,314
2023-07-16,1.3099,1.31,1.3086,1.309,1.309,113
2023-07-17,1.309,1.3109,1.3051,1.3072,1.3072,313
2023-07-18,1.3072,1.3126,1.3028,1.3034,1.3034,354
2023-07-19,1.3034,1.3039,1.2868,1.2937,1.2937,1293
2023-07-20,1.2937,1.2965,1.284,1.2873,1.2873,771
2023-07-21,1.2873,1.2904,1.2816,1.2853,1.2853,458
2023-07-23,1.2853,1.2858,1.2848,1.2852,1.2852,58
2023-07-24,1.2853,1.2884,1.2798,1.2812,1.2812,443
2023-07-25,1.2812,1.2905,1.281,1.2894,1.2894,40
2023-07-26,1.2894,1.2961,1.2876,1.2927,1.2927,158
2023-07-27,1.2927,1.2996,1.2782,1.2794,1.2794,1141
2023-07-28,1.2793,1.2887,1.2763,1.2848,1.2848,256
2023-07-30,1.2849,1.2859,1.2849,1.2854,1.2854,23
2023-07-31,1.2854,1.2873,1.2829,1.2832,1.2832,214
2023-08-01,1.2832,1.2839,1.2741,1.2795,1.2795,724
2023-08-02,1.2795,1.2799,1.268,1.2719,1.2719,914
2023-08-03,1.2719,1.2728,1.2621,1.2716,1.2716,795
2023-08-04,1.2716,1.2793,1.2686,1.2751,1.2751,255
2023-08-06,1.2753,1.2762,1.2746,1.2749,1.2749,76
2023-08-07,1.2749,1.2789,1.2713,1.2782,1.2782,298
2023-08-08,1.2782,1.2786,1.2685,1.2744,1.2744,779
2023-08-09,1.2744,1.2782,1.2712,1.272,1.272,266
2023-08-10,1.272,1.2819,1.267,1.2671,1.2671,412
2023-08-11,1.267,1.2739,1.2667,1.2698,1.2698,50
2023-08-13,1.2693,1.2707,1.2687,1.2694,1.2694,69
2023-08-14,1.2694,1.2715,1.2617,1.2686,1.2686,631
2023-08-15,1.2685,1.2753,1.2676,1.2701,1.2701,98
2023-08-16,1.2701,1.2766,1.2688,1.2728,1.2728,123
2023-08-17,1.2728,1.2788,1.2703,1.2748,1.2748,214
2023-08-18,1.2747,1.2766,1.2689,1.2734,1.2734,474
2023-08-20,1.2734,1.2743,1.2732,1.2741,1.2741,34
2023-08-21,1.2741,1.2767,1.2711,1.276,1.276,260
2023-08-22,1.276,1.28,1.2719,1.2732,1.2732,342
2023-08-23,1.2732,1.2765,1.2615,1.272,1.272,936
2023-08-24,1.272,1.2729,1.2586,1.2593,1.2593,1071
2023-08-25,1.2593,1.2655,1.2548,1.258,1.258,374
2023-08-27,1.2592,1.2611,1.2567,1.259,1.259,0
2023-08-28,1.2598,1.2616,1.2573,1.2611,1.2611,217
2023-08-29,1.2611,1.2655,1.2563,1.2636,1.2636,401
2023-08-30,1.2636,1.2747,1.2619,1.2711,1.2711,152
2023-08-31,1.2712,1.2735,1.2653,1.2672,1.2672,482
